Countries,Socio-Economic Development(PC1),Social Stress(PC2),Urban & Demographic Pressure(PC3),Violence vs Distress(PC4),Employment–Health Trade-off(PC5)
Iran,-0.033691624334875846,-0.34848866912729753,-0.6304173255864962,0.12113195736386745,0.7886650863182216
Netherlands,2.3275786486224876,0.3013527041169552,0.21478013489922182,-0.16071350183932512,0.21956200557474984
Russia,0.31812972644063253,1.192820004080655,-0.17273518359558648,-0.9146526005276645,-1.5403559277307062
Singapore,4.956142140376017,-2.1141308793601317,5.319588902213121,4.819501167323372,-1.8618046452900048
Norway,2.6847842092614354,0.787932000972165,0.08275318320771644,-0.5547195489510884,0.48954702981838955
Albania,0.2595844591490363,-0.38462565938589616,-0.5558089213914449,0.21872102972621366,1.1618877917413306
United Kingdom,1.795151039683925,0.125496146251944,-0.17080964334325485,-0.15740004478950584,0.34488868972966
Switzerland,3.2050339072505114,0.9440275789139045,0.38552834391202767,-0.4543617457960929,0.5423925180630532
Afghanistan,-1.3730649030378046,-0.22559109421622092,-0.46146965462925954,0.22789400785269795,0.6230175155280426
Tunisia,-0.5095632983360774,-0.006082095277596125,-0.396770987640228,0.5463113412872119,1.58684409800329
Czech Republic,1.3640370163488749,0.30284746321277245,-0.3418191743969072,-0.5703567130036354,-0.3239534003274713
Hungary,0.8891735582452825,0.6783101289282476,-0.15195205082050306,-0.8124877003547778,-0.6005767772103733
Canada,1.6765298760606846,0.4268771626514166,-0.2790547611520645,-0.1943476756930759,0.7156015740080026
Oman,0.7888704795383328,-1.0124732494636273,-1.0963659858363872,0.1470751354553989,0.7395474347996287
Austria,1.973595469057739,0.8318697618186747,0.03055974151591727,-0.5684312768750475,0.18117815412879257
Bahamas,-0.3964991421118976,0.8821064540216057,-0.9210397173436972,2.0032940481729025,0.36384710818836835
North Macedonia,-0.018595067973017822,0.14852266143197884,-0.3054116004482416,0.05858420180159179,1.1104105079188167
El Salvador,-0.19202532860684843,-0.30417866384758707,-0.787783145761429,0.2733701220512104,-0.600058330625901
Guatemala,-0.5512657996342555,-0.09079694833617784,-1.2006110124378377,1.1321846011173249,-0.5890539670606151
Australia,2.248836852774655,0.6886293347888328,-0.17524292629452662,-0.5318131033919464,0.3315238101601191
Germany,2.0010785308973724,0.49343004627140613,-0.11844553852722901,-0.39977659706492125,0.028141049228427247
Greece,0.8971255912740118,-0.03270588420513272,-0.4773396310848165,0.12221302390894197,1.2242842372710345
Barbados,0.1870602465348883,-0.007723799486847387,-0.4905608036556947,1.3748739985285696,0.3130853232730916
Saint Vincent and the Grenadines,-1.9394612320048907,1.3593691705406834,-0.7213103924679691,3.015496078344543,0.9443309673797763
Japan,1.9832452516629564,0.7697275445606567,-0.09030949433711169,-0.6726070786396391,-0.4954362172906899
Cape Verde,-0.0694489863285876,1.1574765124134085,-0.08151164144038613,-0.22451723745390512,-0.03062805516828787
Argentina,0.30486165603370796,0.18946816121692353,-0.6565631859464716,0.023834048125108215,0.36666146387959897
Luxembourg,3.646359180891217,0.7671998041266511,0.31938915339434837,0.13192061489192453,1.3728256315233716
Slovakia,0.963192457842308,0.16303895896181983,-0.5289506387705607,-0.25997087225099785,0.10713112038686182
Romania,0.6033779324497703,0.0846634483500109,-0.5902646213565893,-0.2844626422823258,0.0012856834159818747
Brunei,0.7630643466105332,-0.5567796821182462,-0.8364107136555968,0.1361332128177984,0.6261967286780615
New Zealand,1.7508298241008275,0.5591315066600042,-0.38976028518083805,-0.39789992169926186,0.2796773831530955
Solomon Islands,-0.0052695498289396,0.7825383936168921,-0.5359012568003962,-0.9464568632187295,-1.6910152749089606
Belarus,0.3788487406091725,0.545014961653415,-0.5669684161480177,-0.6769717368167772,-0.8974842823567386
United States,2.30268636624489,1.291652094148893,-0.06701768536582776,-0.32064258554157676,-0.03473578748264957
Jordan,-0.27043962394902304,-0.04793783260556832,-0.44203021616047605,0.549852814270198,1.9735936538401087
Bulgaria,0.6314421069395496,0.015971566903156938,-0.7700754814212003,-0.2810025954599534,-0.14934020428734301
Samoa,-0.044294098658922414,0.45705577981015255,-0.9227456700681275,-0.08589987120955464,-0.7288614309873783
Jamaica,-1.4112763413197493,1.1236982834112925,-1.8947806834418384,3.455633497632287,-0.7030494822916664
Saint Lucia,-0.994310016866825,1.4556859707887084,-1.1515305945471315,2.5525146724288876,-0.06829446882526133
Suriname,0.20216903884083873,1.8417361898270996,-0.387007113276754,-0.6672547527034401,-1.2347121325818642
Cuba,1.1263860708488107,0.6354781443059532,-1.1126642456971587,-0.19286722820658192,-0.7765641622842231
Belize,-0.5694287507002223,0.9071267116098937,-1.781092067509322,1.958455626648178,-0.13511577676394232
Ukraine,0.52910891305414,1.7729223099530977,-0.7829673016030277,-0.5881322368517149,-1.17974095823556
Venezuela,0.2286226232711568,0.9757419004348978,-2.1179872073042336,0.9843972786774875,-0.510192767113359
Timor-Leste,0.4035241313961505,0.032783325491173285,-2.916030717966858,0.9496376529210194,-0.6144697129207491
