country_or_territory,annual_growth_2010_2023_percent,Density_km2,homicide_rate,life_expectancy,suicide_rate,IMF_2025_GDP_per_capita_USD,WBank_2024_Unemployment
Trinidad and Tobago,0.3,294.0,39.516,73.49,13.3,18121,4.5
Italy,0.3,201.0,0.545,83.72,7.0,43161,6.8
Seychelles,0.3,284.0,9.335,72.86,4.3,21956,6.902013422818793
Colombia,0.29,48.0,25.269,77.72,5.0,8249,9.6
Iceland,0.28,3.9,1.073,82.69,11.9,98150,3.1
France,0.28,122.0,1.335,83.33,16.6,49961,7.4
Finland,0.27,18.0,0.982,81.91,14.6,56084,8.3
Algeria,0.27,20.0,1.161,76.26,2.2,6095,11.4
Belgium,0.26,385.0,1.077,82.11,18.4,60418,5.5
Israel,0.26,468.0,1.626,82.41,4.4,60009,3.1
Iran,0.26,56.0,2.421,77.65,4.1,4074,9.2
Netherlands,0.26,541.0,0.691,82.16,11.5,73174,3.6
Russia,0.25,8.6,6.799,73.15,21.4,17446,2.5
Singapore,0.25,8290.0,0.069,83.74,8.1,94481,3.2
Norway,0.25,15.0,0.725,83.31,13.2,91884,4.0
Albania,0.25,102.0,1.387,79.6,2.8,11108,10.3
United Kingdom,0.24,285.0,1.148,81.3,9.5,56661,4.1
Switzerland,0.24,226.0,0.597,83.95,14.0,111047,4.1
Afghanistan,0.24,65.0,4.022,66.03,3.6,417,13.3
Tunisia,0.22,79.0,4.621,76.51,1.8,4752,16.2
Czech Republic,0.22,139.0,0.768,79.83,13.3,35161,2.5
Hungary,0.22,106.0,0.774,77.02,16.5,25916,4.4
Canada,0.22,4.5,2.273,82.63,9.4,54935,6.5
Oman,0.22,17.0,0.139,80.03,0.9,19119,3.2
Austria,0.21,111.0,0.876,81.96,14.5,61694,5.4
Bahamas,0.21,40.0,31.221,74.55,3.3,39726,8.5
North Macedonia,0.21,72.0,1.529,77.39,5.8,10378,13.4
El Salvador,0.21,306.0,7.828,72.1,7.6,5744,2.8
Guatemala,0.21,172.0,19.99,72.6,4.9,6478,2.2
Australia,0.2,3.5,0.854,83.92,13.1,65946,4.1
Germany,0.19,242.0,0.91,81.38,12.9,59993,3.4
Greece,0.18,78.0,0.84,81.86,4.7,27170,10.1
Barbados,0.18,657.0,15.268,76.18,3.5,25927,7.5
Saint Vincent and the Grenadines,0.17,258.0,40.405,71.23,0.4,11132,18.1
Japan,0.16,340.0,0.23,84.71,17.4,34713,2.6
Cape Verde,0.15,130.0,6.179,76.06,14.9,5671,11.9
Argentina,0.15,17.0,4.309,77.39,7.9,14359,7.9
Luxembourg,0.14,261.0,1.544,82.23,8.2,146818,5.9
Slovakia,0.14,115.0,1.124,78.34,9.9,28524,5.2
Romania,0.14,83.0,1.109,75.94,9.6,22436,5.4
Brunei,0.13,88.0,0.486,75.33,3.0,37020,5.1
New Zealand,0.13,20.0,1.111,82.09,11.9,49383,4.9
Solomon Islands,0.13,29.0,3.682,70.53,19.6,2386,1.5
Belarus,0.12,45.0,2.326,74.43,15.6,9435,3.4
United States,0.1,37.0,5.763,79.3,15.6,89599,4.1
Jordan,0.1,130.0,0.988,77.81,0.6,4908,18.0
Bulgaria,0.09,62.0,1.088,75.64,9.5,20426,4.1
Samoa,-0.02,78.0,6.199,71.7,12.0,5887,4.6
Jamaica,-0.06,262.0,49.299,71.48,1.7,8405,4.9
Saint Lucia,-0.07,295.0,36.696,72.7,5.3,14647,10.9
Suriname,-0.07,4.0,7.281,73.63,22.3,6843,7.3
Cuba,-0.16,89.0,4.418,78.08,13.8,18329,1.5
Belize,-0.23,18.0,27.882,73.57,4.2,7897,7.0
Ukraine,-0.35,65.0,3.843,73.42,21.2,6382,6.902013422818793
Venezuela,-0.68,32.0,12.607,72.51,8.6,3103,5.5
Timor-Leste,-1.01,94.0,4.064,67.69,3.6,1508,1.6
