country_or_territory,rate,count,year,region,subregion
Romania,1.109,212,2023,Europe,Eastern Europe
Russia,6.799,9866,2021,Europe,Eastern Europe
Rwanda,3.590,472,2020,Africa,Sub-Saharan Africa
Saint Helena,0,0,2009,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,23.081,11,2022,Americas,Latin America and the Caribbean
Saint Lucia,36.696,66,2022,Americas,Latin America and the Caribbean
Saint Martin,28.727,10,2016,Americas,Latin America and the Caribbean
Saint Pierre and Miquelon,16.518,1,2009,Americas,Northern America
Saint Vincent and the Grenadines,40.405,42,2022,Americas,Latin America and the Caribbean
Samoa,6.199,13,2018,Oceania,Polynesia
San Marino,0,0,2011,Europe,Southern Europe
São Tomé and Príncipe,3.225,6,2011,Africa,Sub-Saharan Africa
Saudi Arabia,0.795,285,2019,Asia,Western Asia
Scotland,0.967,53,2021,Europe,Northern Europe
Serbia,1.314,89,2023,Europe,Southern Europe
Seychelles,9.335,10,2022,Africa,Sub-Saharan Africa
Sierra Leone,2.137,176,2020,Africa,Sub-Saharan Africa
Singapore,0.069,4,2023,Asia,South-eastern Asia
Slovakia,1.124,62,2023,Europe,Eastern Europe
Slovenia,0.566,12,2023,Europe,Southern Europe
Solomon Islands,3.682,19,2008,Oceania,Melanesia
South Africa,45.534,27272,2022,Africa,Sub-Saharan Africa
South Sudan,14.054,1504,2012,Africa,Sub-Saharan Africa
Spain,0.691,331,2023,Europe,Southern Europe
Sri Lanka,3.427,742,2019,Asia,Southern Asia
Suriname,7.281,45,2022,Americas,Latin America and the Caribbean
Sweden,1.147,121,2023,Europe,Northern Europe
Switzerland,0.597,53,2023,Europe,Western Europe
Syria,2.073,463,2010,Asia,Western Asia
Tajikistan,0.912,87,2020,Asia,Central Asia
Tanzania,3.705,2286,2020,Africa,Sub-Saharan Africa
Thailand,4.813,3307,2011,Asia,South-eastern Asia
Tonga,0.953,1,2019,Oceania,Polynesia
Trinidad and Tobago,39.516,605,2022,Americas,Latin America and the Caribbean
Tunisia,4.621,562,2020,Africa,Northern Africa
Turkey,3.228,2817,2023,Asia,Western Asia
Turkmenistan,1.093,63,2015,Asia,Central Asia
Turks and Caicos Islands,76.582,35,2022,Americas,Latin America and the Caribbean
Tuvalu,0,0,2019,Oceania,Polynesia
Uganda,8.768,4143,2022,Africa,Sub-Saharan Africa
Ukraine,3.843,1673,2021,Europe,Eastern Europe
United Arab Emirates,0.752,71,2022,Asia,Western Asia
United Kingdom,1.148,684,2021,Europe,Northern Europe
United States,5.763,19796,2023,Americas,Northern America
United States Virgin Islands,49.631,52,2012,Americas,Latin America and the Caribbean
Uruguay,11.190,383,2022,Americas,Latin America and the Caribbean
Uzbekistan,1.405,479,2021,Asia,Central Asia
Vanuatu,0.321,1,2020,Oceania,Melanesia
Venezuela,12.607,3568,2022,Americas,Latin America and the Caribbean
Vietnam,1.537,1358,2011,Asia,South-eastern Asia
Yemen,6.311,1703,2013,Asia,Western Asia
Zambia,5.250,853,2015,Africa,Sub-Saharan Africa
Zimbabwe,6.76,1086,2022,Africa,Sub-Saharan Africa
